"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","123575","ckks_set2_noopt","127.0.0.1","Mult_4(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"0","123575","ckks_set2_noopt","127.0.0.1","Mult_4(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","11.75"
"0","123575","ckks_set2_noopt","127.0.0.1","Mult_4(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.12"
"0","123575","ckks_set2_noopt","127.0.0.1","Mult_4(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"0","123575","ckks_set2_noopt","127.0.0.1","Mult_4(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","33.70"
"0","123575","ckks_set2_noopt","127.0.0.1","Mult_4(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.34"
"1","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"1","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","52.60"
"1","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.53"
"1","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"1","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","28.94"
"1","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.29"
"2","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"2","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","8.63"
"2","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.09"
"2","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"2","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","98.72"
"2","123575","ckks_set2_noopt","127.0.0.1","iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(32, 1, 1)","(4608, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.99"
"3","123575","ckks_set2_noopt","127.0.0.1","ModUp_107(Params *, int, int, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"3","123575","ckks_set2_noopt","127.0.0.1","ModUp_107(Params *, int, int, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","21.15"
"3","123575","ckks_set2_noopt","127.0.0.1","ModUp_107(Params *, int, int, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.21"
"3","123575","ckks_set2_noopt","127.0.0.1","ModUp_107(Params *, int, int, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"3","123575","ckks_set2_noopt","127.0.0.1","ModUp_107(Params *, int, int, unsigned long *, unsigned long *)","1","7","(128, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","95.03"
