"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","124485","ckks_set2","127.0.0.1","tensor_prod_2x2_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned int, unsigned int)","1","13","(128, 1, 1)","(8704, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"0","124485","ckks_set2","127.0.0.1","tensor_prod_2x2_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned int, unsigned int)","1","13","(128, 1, 1)","(8704, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","24.52"
"0","124485","ckks_set2","127.0.0.1","tensor_prod_2x2_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned int, unsigned int)","1","13","(128, 1, 1)","(8704, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.25"
"0","124485","ckks_set2","127.0.0.1","tensor_prod_2x2_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned int, unsigned int)","1","13","(128, 1, 1)","(8704, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"0","124485","ckks_set2","127.0.0.1","tensor_prod_2x2_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned int, unsigned int)","1","13","(128, 1, 1)","(8704, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","43.04"
"0","124485","ckks_set2","127.0.0.1","tensor_prod_2x2_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned int, unsigned int)","1","13","(128, 1, 1)","(8704, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.43"
"1","124485","ckks_set2","127.0.0.1","inwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)","1","13","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"1","124485","ckks_set2","127.0.0.1","inwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)","1","13","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","49.99"
"1","124485","ckks_set2","127.0.0.1","inwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)","1","13","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.50"
"1","124485","ckks_set2","127.0.0.1","inwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)","1","13","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"1","124485","ckks_set2","127.0.0.1","inwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)","1","13","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","26.09"
