Generating SQLite file ./evalstall-exectime-noopt.sqlite from ./evalstall-exectime-noopt.nsys-rep
Processing [./evalstall-exectime-noopt.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
13.4,3487208,6,581201.3,581105.5,580865,581601,336.6,"iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.2,311201,6,51866.8,51696.0,51360,53312,727.2,"NTTPhase1_124(Params *, int, int, unsigned long *, unsigned long *)"
1.2,309505,6,51584.2,51472.0,50848,52384,546.7,"NTTPhase1_128(Params *, int, int, unsigned long *, unsigned long *)"
1.2,307488,6,51248.0,51264.0,50496,51904,504.2,"NTTPhase1_148(Params *, int, int, unsigned long *, unsigned long *)"
1.2,306241,6,51040.2,50880.5,50336,52320,756.4,"NTTPhase1_132(Params *, int, int, unsigned long *, unsigned long *)"
1.2,306112,6,51018.7,50896.0,50560,51840,456.5,"NTTPhase1_154(Params *, int, int, unsigned long *, unsigned long *)"
1.2,306049,6,51008.2,51024.5,50720,51296,196.3,"NTTPhase1_136(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305666,6,50944.3,51008.5,50464,51328,293.2,"NTTPhase1_156(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305441,6,50906.8,51040.5,50304,51360,478.8,"NTTPhase1_140(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305441,6,50906.8,50896.5,50304,51456,437.5,"NTTPhase1_160(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305185,6,50864.2,50720.0,50304,51808,565.4,"NTTPhase1_144(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304992,6,50832.0,50736.0,50400,51488,410.2,"NTTPhase1_142(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304865,6,50810.8,50912.0,50240,51264,352.0,"NTTPhase1_166(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304610,6,50768.3,50768.5,50433,51104,223.9,"NTTPhase1_150(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304512,6,50752.0,50688.0,50592,51040,187.7,"NTTPhase1_152(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304417,6,50736.2,50784.0,50272,51296,384.2,"NTTPhase1_146(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304352,6,50725.3,50736.0,50496,50976,163.7,"NTTPhase1_134(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303937,6,50656.2,50688.0,50240,51104,308.4,"NTTPhase1_162(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303552,6,50592.0,50512.0,50080,51136,380.2,"NTTPhase1_158(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303457,6,50576.2,50688.0,49984,50944,373.8,"NTTPhase1_138(Params *, int, int, unsigned long *, unsigned long *)"
1.2,302464,6,50410.7,50416.0,49984,50688,242.6,"NTTPhase1_164(Params *, int, int, unsigned long *, unsigned long *)"
1.2,302432,6,50405.3,50352.0,49984,50944,338.3,"iNTTPhase1_126(Params *, int, int, unsigned long *, unsigned long *)"
1.2,301440,6,50240.0,50112.0,49664,50880,513.6,"iNTTPhase1_122(Params *, int, int, unsigned long *, unsigned long *)"
0.9,229696,6,38282.7,38160.0,37920,39104,419.0,"iNTTPhase2_123(Params *, int, int, unsigned long *, unsigned long *)"
0.9,225761,6,37626.8,37616.5,37248,38272,365.6,"iNTTPhase2_127(Params *, int, int, unsigned long *, unsigned long *)"
0.8,209696,6,34949.3,36464.0,29184,36640,2955.3,"iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)"
0.8,199712,6,33285.3,33328.0,32704,33920,420.9,"NTTPhase2_141(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198848,6,33141.3,33280.0,32672,33504,374.1,"NTTPhase2_153(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198112,6,33018.7,32928.0,32512,33984,548.1,"NTTPhase2_151(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198081,6,33013.5,33008.0,32704,33376,238.4,"NTTPhase2_159(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198080,6,33013.3,33104.0,32608,33184,226.9,"NTTPhase2_147(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198016,6,33002.7,32960.0,32576,33472,370.2,"NTTPhase2_155(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197824,6,32970.7,32960.0,32576,33408,293.8,"NTTPhase2_167(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197793,6,32965.5,32880.0,32512,33664,405.9,"NTTPhase2_145(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197601,6,32933.5,32880.0,32737,33248,199.6,"NTTPhase2_163(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197280,6,32880.0,32816.0,32416,33408,372.5,"NTTPhase2_157(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197088,6,32848.0,32880.0,32640,32992,135.4,"NTTPhase2_139(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197056,6,32842.7,32784.0,32448,33312,310.7,"NTTPhase2_165(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196897,6,32816.2,32800.5,32512,33216,237.5,"NTTPhase2_149(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196672,6,32778.7,32800.0,32448,33184,272.0,"NTTPhase2_161(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196608,6,32768.0,32640.0,32480,33216,298.1,"NTTPhase2_143(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196224,6,32704.0,32704.0,32320,33152,308.3,"NTTPhase2_137(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196129,6,32688.2,32624.0,32544,32961,163.2,"NTTPhase2_135(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,194912,6,32485.3,32400.0,32192,32992,272.6,"NTTPhase2_133(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,194305,6,32384.2,32384.5,32032,32640,225.3,"Mult_9(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,187360,6,31226.7,30992.0,30752,32128,525.2,"Mult_3(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,187073,6,31178.8,31184.0,30880,31489,209.3,"Mult_2(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,185248,6,30874.7,30912.0,30656,31008,133.4,"Mult_1(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,181152,6,30192.0,32048.0,22272,33248,4165.9,"Mult_4(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,150433,6,25072.2,25024.0,24352,26048,637.5,"Mult_109(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,148288,6,24714.7,24768.0,24128,25408,467.1,"Mult_31(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,146912,6,24485.3,24448.0,24064,24960,294.3,"Add_16(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,146337,6,24389.5,24672.5,23392,25216,708.6,"Mult_14(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,145889,6,24314.8,24480.5,23456,24864,555.6,"Mult_50(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,145856,6,24309.3,24304.0,24256,24384,52.3,"Add_40(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,145856,6,24309.3,24144.0,23712,25408,644.4,"Mult_103(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,145600,6,24266.7,24304.0,23712,24544,300.0,"Add_69(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,144129,6,24021.5,24080.5,23488,24384,360.7,"Mult_67(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,143264,6,23877.3,24080.0,22752,24544,697.7,"Add_111(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,141728,6,23621.3,23632.0,23136,24192,362.8,"Mult_85(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,141536,6,23589.3,23760.0,22720,24416,690.3,"Mult_25(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,141440,6,23573.3,23360.0,22880,24320,609.7,"Mult_32(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,140896,6,23482.7,23552.0,22912,23712,292.2,"Mult_97(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,139712,6,23285.3,23376.0,22624,23552,349.8,"Mult_10(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,139456,6,23242.7,23312.0,22336,23968,550.4,"Mult_13(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,139136,6,23189.3,23296.0,22304,23680,511.5,"Mult_43(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,139008,6,23168.0,23360.0,22112,24032,751.6,"Mult_19(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,138976,6,23162.7,23120.0,22432,24032,675.0,"Mult_61(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,138816,6,23136.0,23280.0,22208,23680,522.3,"Mult_44(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,138432,6,23072.0,23184.0,22336,23488,401.7,"Mult_49(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,138272,6,23045.3,23056.0,22080,23680,583.6,"Mult_91(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,137664,6,22944.0,22832.0,22592,23520,359.8,"Mult_55(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,137632,6,22938.7,23008.0,22432,23296,287.2,"Add_94(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,137569,6,22928.2,22880.0,22721,23232,174.7,"Mult_86(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,137088,6,22848.0,22944.0,21984,23488,529.3,"Mult_62(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,136928,6,22821.3,22640.0,22304,24192,696.2,"Mult_38(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,136770,6,22795.0,22832.5,22016,23456,530.2,"Mult_37(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,136608,6,22768.0,22720.0,22336,23392,346.9,"Mult_73(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,136480,6,22746.7,22912.0,21952,23328,515.4,"Mult_80(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,136480,6,22746.7,22784.0,22208,23040,307.9,"Mult_92(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,136096,6,22682.7,22704.0,22112,23104,354.8,"Add_93(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,136096,6,22682.7,22560.0,22304,23296,377.8,"Mult_98(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,135840,6,22640.0,22496.0,22304,23488,428.3,"Mult_110(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,135392,6,22565.3,22608.0,21792,23200,458.6,"Mult_68(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,135136,6,22522.7,22400.0,21600,23424,647.1,"Mult_20(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,135040,6,22506.7,22496.0,22144,22976,299.3,"Add_57(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,134944,6,22490.7,22096.0,21728,23840,912.2,"Add_100(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,134560,6,22426.7,22320.0,21888,23008,395.3,"Mult_104(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,134529,6,22421.5,22432.0,21696,23008,548.0,"Add_112(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.5,134432,6,22405.3,22208.0,21472,23744,809.4,"Add_58(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
