Generating SQLite file ./evalstall-exectime-opt.sqlite from ./evalstall-exectime-opt.nsys-rep
Processing [./evalstall-exectime-opt.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.1,3489605,6,581600.8,581568.5,580993,582529,506.8,"iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
5.5,796801,6,132800.2,132768.5,132320,133408,461.4,"NTTPhase2_167_NTTPhase2_165_Mult_19_NTTPhase2_161_Mult_9_Mult_10_Mult_14_Mult_13_Mult_25_Mult_26_Add_28_Add_15_Add_16_Add_21_Add_27(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
2.3,330305,6,55050.8,55504.0,52384,55872,1316.9,"NTTPhase2_133_Mult_109_Mult_110_Add_112_iNTTPhase2_123_Add_111_iNTTPhase2_127(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
2.3,326433,6,54405.5,54192.0,53696,55552,739.5,"iNTTPhase1_122(Params *, int, int, unsigned long *, unsigned long *)"
2.2,323489,6,53914.8,53776.5,53408,54624,479.1,"NTTPhase1_124(Params *, int, int, unsigned long *, unsigned long *)"
2.1,309376,6,51562.7,51312.0,50976,52384,589.6,"NTTPhase1_128(Params *, int, int, unsigned long *, unsigned long *)"
2.1,306144,6,51024.0,50880.0,50400,51840,534.6,"NTTPhase1_132(Params *, int, int, unsigned long *, unsigned long *)"
2.1,304033,6,50672.2,50784.0,49920,51040,417.5,"NTTPhase1_150(Params *, int, int, unsigned long *, unsigned long *)"
2.1,302753,6,50458.8,50336.5,50048,51136,390.6,"NTTPhase1_166(Params *, int, int, unsigned long *, unsigned long *)"
2.1,302752,6,50458.7,50384.0,50176,50816,267.3,"NTTPhase1_140(Params *, int, int, unsigned long *, unsigned long *)"
2.1,302592,6,50432.0,50640.0,49920,50720,374.8,"NTTPhase1_148(Params *, int, int, unsigned long *, unsigned long *)"
2.1,302368,6,50394.7,50480.0,49920,50656,281.5,"NTTPhase1_164(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301985,6,50330.8,50352.0,49728,50656,336.0,"NTTPhase1_154(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301921,6,50320.2,50240.5,49824,51264,522.6,"NTTPhase1_134(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301664,6,50277.3,50272.0,49760,50944,425.7,"NTTPhase1_162(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301536,6,50256.0,50256.0,49696,50848,452.4,"NTTPhase1_156(Params *, int, int, unsigned long *, unsigned long *)"
