Generating SQLite file ./evalstall-exectime-phantom.sqlite from ./evalstall-exectime-phantom.nsys-rep
Processing [./evalstall-exectime-phantom.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.4,8685805,5,1737161.0,1738755.0,1725859,1741858,6452.9,"compose_array_kernel(double2 *, unsigned long *, unsigned long *, const unsigned long *, unsigned int, const DModulus *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, double, unsigned int)"
18.3,6512651,139,46853.6,46816.0,46080,48576,525.6,"sample_error_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
12.3,4386695,125,35093.6,34912.0,34112,36896,644.0,"sample_uniform_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
8.8,3115267,173,18007.3,20608.0,13280,26240,3597.9,"inplace_fnwt_radix8_phase2(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
8.0,2830820,5,566164.0,566017.0,565728,566785,409.8,"phantom::key_switch_inner_prod_c2_and_evk(unsigned long *, const unsigned long *, const unsigned long *const *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
7.0,2503396,183,13679.8,13728.0,12864,15680,338.3,"inplace_fnwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
3.6,1264867,85,14880.8,14176.0,13664,25952,2686.8,"inplace_fnwt_radix8_phase2_include_special_mod_exclude_range(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
3.5,1242051,125,9936.4,9760.0,8672,15456,1097.5,"multiply_and_add_negate_rns_poly(const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)"
3.1,1116833,85,13139.2,13024.0,12768,15008,453.7,"inplace_fnwt_radix8_phase1_include_special_mod_exclude_range(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
1.8,628321,13,48332.4,48481.0,47520,48800,380.1,"sample_ternary_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
