Generating SQLite file ./evalstall-exectime-phantom.sqlite from ./evalstall-exectime-phantom.nsys-rep
Processing [./evalstall-exectime-phantom.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.4,8656176,5,1731235.2,1730499.0,1723619,1737731,5959.1,"compose_array_kernel(double2 *, unsigned long *, unsigned long *, const unsigned long *, unsigned int, const DModulus *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, double, unsigned int)"
18.3,6510571,139,46838.6,46752.0,46048,48608,552.7,"sample_error_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
12.4,4388969,125,35111.8,34944.0,34112,37088,658.9,"sample_uniform_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
8.8,3115780,173,18010.3,20544.0,13312,26144,3587.9,"inplace_fnwt_radix8_phase2(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
8.0,2830757,5,566151.4,566145.0,565729,566593,325.9,"phantom::key_switch_inner_prod_c2_and_evk(unsigned long *, const unsigned long *, const unsigned long *const *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
7.0,2500871,183,13666.0,13696.0,12928,15936,344.4,"inplace_fnwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
3.6,1269889,85,14939.9,14240.0,13824,26240,2679.2,"inplace_fnwt_radix8_phase2_include_special_mod_exclude_range(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
3.5,1237345,125,9898.8,9696.0,8608,15392,1142.0,"multiply_and_add_negate_rns_poly(const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)"
3.2,1121121,85,13189.7,13088.0,12896,15072,436.3,"inplace_fnwt_radix8_phase1_include_special_mod_exclude_range(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
1.8,629057,13,48389.0,48416.0,47872,48768,255.7,"sample_ternary_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
1.6,578275,85,6803.2,6464.0,6112,8864,687.2,"modup_bconv_single_p_kernel(unsigned long *, const unsigned long *, const unsigned long *, unsigned long, unsigned long, const DModulus *, unsigned long)"
0.7,265441,10,26544.1,26352.5,17792,35968,8966.9,"inplace_fnwt_radix8_phase2_fuse_moddown(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
