Generating SQLite file ./evalstall-exectime-noopt.sqlite from ./evalstall-exectime-noopt.nsys-rep
Processing [./evalstall-exectime-noopt.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
13.4,3490854,6,581809.0,581873.0,581025,582497,511.1,"iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.2,310016,6,51669.3,51600.0,51232,52128,337.8,"NTTPhase1_124(Params *, int, int, unsigned long *, unsigned long *)"
1.2,308384,6,51397.3,51344.0,51072,51904,283.6,"NTTPhase1_128(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305920,6,50986.7,51008.0,50432,51360,353.3,"NTTPhase1_132(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305280,6,50880.0,50800.0,50400,51424,366.5,"NTTPhase1_136(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304864,6,50810.7,50656.0,50368,51328,391.6,"NTTPhase1_144(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304832,6,50805.3,50672.0,50048,52224,746.5,"NTTPhase1_152(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304672,6,50778.7,50592.0,50176,51904,616.0,"NTTPhase1_158(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304544,6,50757.3,50768.0,50432,51296,305.2,"NTTPhase1_166(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304481,6,50746.8,50800.0,50272,51104,349.5,"NTTPhase1_134(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304290,6,50715.0,50832.0,50080,51457,531.8,"NTTPhase1_142(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304000,6,50666.7,50688.0,50176,51200,419.0,"NTTPhase1_148(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303936,6,50656.0,50768.0,50368,50848,213.2,"NTTPhase1_140(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303552,6,50592.0,50624.0,50176,51008,394.0,"NTTPhase1_162(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303488,6,50581.3,50496.0,50176,51136,402.1,"NTTPhase1_146(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303331,6,50555.2,50592.5,49889,51264,510.5,"NTTPhase1_164(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303264,6,50544.0,50416.0,49984,51360,464.5,"NTTPhase1_154(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303041,6,50506.8,50432.5,50144,50976,324.9,"NTTPhase1_150(Params *, int, int, unsigned long *, unsigned long *)"
1.2,302753,6,50458.8,50480.0,50209,50720,205.6,"NTTPhase1_156(Params *, int, int, unsigned long *, unsigned long *)"
1.2,302752,6,50458.7,50448.0,50048,50848,307.9,"NTTPhase1_138(Params *, int, int, unsigned long *, unsigned long *)"
1.2,302720,6,50453.3,50368.0,50112,51104,350.3,"NTTPhase1_160(Params *, int, int, unsigned long *, unsigned long *)"
1.2,301536,6,50256.0,50128.0,49792,50912,489.4,"iNTTPhase1_126(Params *, int, int, unsigned long *, unsigned long *)"
1.2,300128,6,50021.3,50000.0,49568,50592,327.9,"iNTTPhase1_122(Params *, int, int, unsigned long *, unsigned long *)"
0.9,228353,6,38058.8,38064.5,37600,38464,278.7,"iNTTPhase2_123(Params *, int, int, unsigned long *, unsigned long *)"
0.9,225057,6,37509.5,37440.0,37280,37888,234.8,"iNTTPhase2_127(Params *, int, int, unsigned long *, unsigned long *)"
0.8,207777,6,34629.5,36192.0,28513,36736,3160.0,"iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)"
0.8,199042,6,33173.7,33088.5,32672,33889,518.8,"NTTPhase2_141(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198880,6,33146.7,33120.0,32768,33664,319.6,"NTTPhase2_155(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198336,6,33056.0,33024.0,32864,33408,194.1,"NTTPhase2_135(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198144,6,33024.0,33056.0,32736,33312,194.1,"NTTPhase2_147(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198080,6,33013.3,33008.0,32736,33344,241.7,"NTTPhase2_163(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197760,6,32960.0,32912.0,32704,33280,207.4,"NTTPhase2_139(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197728,6,32954.7,33024.0,32608,33248,229.3,"NTTPhase2_143(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197696,6,32949.3,32912.0,32576,33408,324.2,"NTTPhase2_159(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197536,6,32922.7,32944.0,32416,33344,332.2,"NTTPhase2_137(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197473,6,32912.2,32720.0,32512,33665,481.7,"NTTPhase2_165(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,197056,6,32842.7,32816.0,32448,33312,294.4,"NTTPhase2_153(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196960,6,32826.7,32848.0,32672,32992,111.6,"NTTPhase2_151(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196769,6,32794.8,32816.5,32544,32960,163.7,"NTTPhase2_157(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196385,6,32730.8,32672.0,32256,33440,418.5,"NTTPhase2_133(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196288,6,32714.7,32720.0,32288,33056,302.7,"NTTPhase2_161(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,196128,6,32688.0,32672.0,32576,32832,98.6,"NTTPhase2_167(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,195968,6,32661.3,32624.0,32416,32992,207.1,"NTTPhase2_145(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,195873,6,32645.5,32624.5,32480,32896,147.8,"NTTPhase2_149(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,195008,6,32501.3,32464.0,32320,32736,148.3,"Mult_9(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,185632,6,30938.7,30912.0,30592,31424,284.4,"Mult_2(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,185536,6,30922.7,30832.0,30688,31392,260.5,"Mult_3(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.7,185056,6,30842.7,30800.0,30656,31200,199.8,"Mult_1(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
