Generating SQLite file ./evalstall-exectime-opt.sqlite from ./evalstall-exectime-opt.nsys-rep
Processing [./evalstall-exectime-opt.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.9,1654949,6,275824.8,275568.5,275297,276737,613.5,"iNTTPhase1_58(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
12.2,1069091,6,178181.8,178480.5,176480,178752,862.6,"NTTPhase2_71_NTTPhase2_69_Mult_19_NTTPhase2_65_Mult_9_Mult_10_Mult_14_Mult_13_Mult_25_Mult_26_Add_28_Add_15_Add_16_Add_21_Add_27(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
4.9,430177,6,71696.2,71600.0,71329,72384,383.1,"iNTTPhase1_50(Params *, int, int, unsigned long *, unsigned long *)"
4.8,417793,6,69632.2,69488.5,69088,70464,558.3,"NTTPhase2_61_Mult_37_Mult_38_Add_40_iNTTPhase2_51_Add_39_iNTTPhase2_55(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
4.7,413058,6,68843.0,68912.5,68224,69312,380.5,"NTTPhase1_52(Params *, int, int, unsigned long *, unsigned long *)"
4.6,406146,6,67691.0,67600.5,67296,68417,379.3,"NTTPhase1_56(Params *, int, int, unsigned long *, unsigned long *)"
4.6,400801,6,66800.2,66816.0,66336,67169,322.6,"NTTPhase1_60(Params *, int, int, unsigned long *, unsigned long *)"
4.6,399840,6,66640.0,66576.0,66496,66976,177.3,"NTTPhase1_68(Params *, int, int, unsigned long *, unsigned long *)"
4.6,398658,6,66443.0,66416.0,66081,66881,359.1,"NTTPhase1_62(Params *, int, int, unsigned long *, unsigned long *)"
4.5,398337,6,66389.5,66496.5,65952,66752,319.9,"NTTPhase1_70(Params *, int, int, unsigned long *, unsigned long *)"
4.5,398113,6,66352.2,66304.0,66016,66849,288.5,"iNTTPhase1_54(Params *, int, int, unsigned long *, unsigned long *)"
4.5,398049,6,66341.5,66272.0,66080,66656,220.1,"NTTPhase1_64(Params *, int, int, unsigned long *, unsigned long *)"
4.5,397665,6,66277.5,66288.0,65824,66688,278.6,"NTTPhase1_66(Params *, int, int, unsigned long *, unsigned long *)"
4.3,374241,6,62373.5,62352.5,62176,62656,193.6,"NTTPhase2_53_Mult_2_Mult_3_Add_5_Add_48(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
4.1,359745,6,59957.5,59952.0,59520,60481,351.2,"NTTPhase2_67_Mult_20_Add_22(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
2.6,229282,6,38213.7,38240.5,37921,38400,178.8,"NTTPhase2_63_Mult_31_Mult_32_Add_34_Add_33(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.6,136449,6,22741.5,22784.5,22400,22880,173.8,"NTTPhase2_57_Mult_1_Add_47(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.6,136032,6,22672.0,20064.0,19872,35776,6422.6,"Mult_4_iNTTPhase2_59(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.6,56032,6,9338.7,9344.0,9216,9440,84.5,"ModUp_17(Params *, int, int, unsigned long *, unsigned long *)"
0.6,55904,6,9317.3,9264.0,9152,9632,193.5,"ModUp_11(Params *, int, int, unsigned long *, unsigned long *)"
0.6,55841,6,9306.8,9296.5,9152,9504,120.3,"ModUp_7(Params *, int, int, unsigned long *, unsigned long *)"
0.6,55360,6,9226.7,9152.0,9088,9568,174.9,"ModUp_23(Params *, int, int, unsigned long *, unsigned long *)"
0.6,48960,6,8160.0,8112.0,8000,8544,194.1,"ModUp_35(Params *, int, int, unsigned long *, unsigned long *)"
0.6,48544,6,8090.7,8080.0,8032,8160,47.1,"ModUp_29(Params *, int, int, unsigned long *, unsigned long *)"
0.1,8576,6,1429.3,1440.0,1408,1440,16.5,"ModDown_44(Params *, int, int, unsigned long *, unsigned long *)"
0.1,7872,6,1312.0,1312.0,1312,1312,0.0,"ModDown_43(Params *, int, int, unsigned long *, unsigned long *)"

