Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
---------------------------------------------------------------------------------------------------------------
n=1024 / log(q)=27 / KeyGen / Secret/iterations:10                         71.8 us         71.7 us           10
n=1024 / log(q)=27 / KeyGen / Public/iterations:10                          129 us          129 us           10
n=1024 / log(q)=27 / BFV / EncryptSecret/iterations:10                      151 us          151 us           10
n=1024 / log(q)=27 / BFV / EncryptPublic/iterations:10                      202 us          202 us           10
n=1024 / log(q)=27 / BFV / Decrypt/iterations:10                           50.4 us         50.5 us           10
n=1024 / log(q)=27 / BFV / EncodeBatch/iterations:10                       13.2 us         13.2 us           10
n=1024 / log(q)=27 / BFV / DecodeBatch/iterations:10                       16.4 us         16.4 us           10
n=1024 / log(q)=27 / BFV / EvaluateAddCt/iterations:10                     3.34 us         3.34 us           10
n=1024 / log(q)=27 / BFV / EvaluateAddPt/iterations:10                     16.8 us         16.8 us           10
n=1024 / log(q)=27 / BFV / EvaluateNegate/iterations:10                    2.58 us         2.59 us           10
n=1024 / log(q)=27 / BFV / EvaluateSubCt/iterations:10                     3.63 us         3.61 us           10
n=1024 / log(q)=27 / BFV / EvaluateSubPt/iterations:10                     16.9 us         17.0 us           10
n=1024 / log(q)=27 / BFV / EvaluateMulCt/iterations:10                      512 us          512 us           10
n=1024 / log(q)=27 / BFV / EvaluateMulPt/iterations:10                     65.2 us         65.2 us           10
n=1024 / log(q)=27 / BFV / EvaluateSquare/iterations:10                     378 us          378 us           10
n=1024 / log(q)=27 / BGV / EncryptSecret/iterations:10                      150 us          150 us           10
n=1024 / log(q)=27 / BGV / EncryptPublic/iterations:10                      206 us          206 us           10
n=1024 / log(q)=27 / BGV / Decrypt/iterations:10                           30.7 us         30.7 us           10
n=1024 / log(q)=27 / BGV / EncodeBatch/iterations:10                       13.2 us         13.2 us           10
n=1024 / log(q)=27 / BGV / DecodeBatch/iterations:10                       16.1 us         16.1 us           10
n=1024 / log(q)=27 / BGV / EvaluateNegate/iterations:10                    2.98 us         2.97 us           10
n=1024 / log(q)=27 / BGV / EvaluateNegateInplace/iterations:10             2.30 us         2.26 us           10
n=1024 / log(q)=27 / BGV / EvaluateAddCt/iterations:10                     3.24 us         3.23 us           10
n=1024 / log(q)=27 / BGV / EvaluateAddCtInplace/iterations:10              2.75 us         2.70 us           10
n=1024 / log(q)=27 / BGV / EvaluateAddPt/iterations:10                     22.0 us         22.0 us           10
n=1024 / log(q)=27 / BGV / EvaluateAddPtInplace/iterations:10              21.5 us         21.5 us           10
n=1024 / log(q)=27 / BGV / EvaluateMulCt/iterations:10                     18.4 us         18.4 us           10
n=1024 / log(q)=27 / BGV / EvaluateMulCtInplace/iterations:10              17.2 us         17.1 us           10
n=1024 / log(q)=27 / BGV / EvaluateMulPt/iterations:10                     27.6 us         27.6 us           10
n=1024 / log(q)=27 / BGV / EvaluateMulPtInplace/iterations:10              26.6 us         26.6 us           10
n=1024 / log(q)=27 / BGV / EvaluateSquare/iterations:10                    13.8 us         13.8 us           10
n=1024 / log(q)=27 / BGV / EvaluateSquareInplace/iterations:10             13.2 us         13.2 us           10
n=1024 / log(q)=27 / BGV / EvaluateToNTTInplace/iterations:10              29.5 us         29.5 us           10
n=1024 / log(q)=27 / BGV / EvaluateFromNTTInplace/iterations:10            22.7 us         22.7 us           10
n=1024 / log(q)=27 / CKKS / EncryptSecret/iterations:10                     139 us          139 us           10
n=1024 / log(q)=27 / CKKS / EncryptPublic/iterations:10                     201 us          202 us           10
n=1024 / log(q)=27 / CKKS / Decrypt/iterations:10                          6.17 us         6.17 us           10
n=1024 / log(q)=27 / CKKS / EncodeDouble/iterations:10                     47.5 us         47.5 us           10
n=1024 / log(q)=27 / CKKS / DecodeDouble/iterations:10                     38.7 us         38.7 us           10
n=1024 / log(q)=27 / CKKS / EvaluateAddCt/iterations:10                    3.51 us         3.46 us           10
n=1024 / log(q)=27 / CKKS / EvaluateAddPt/iterations:10                    2.25 us         2.21 us           10
n=1024 / log(q)=27 / CKKS / EvaluateNegate/iterations:10                   2.83 us         2.76 us           10
n=1024 / log(q)=27 / CKKS / EvaluateSubCt/iterations:10                    3.72 us         3.68 us           10
n=1024 / log(q)=27 / CKKS / EvaluateSubPt/iterations:10                    2.24 us         2.22 us           10
n=1024 / log(q)=27 / CKKS / EvaluateMulCt/iterations:10                    17.4 us         17.4 us           10
n=1024 / log(q)=27 / CKKS / EvaluateMulPt/iterations:10                    8.56 us         8.53 us           10
n=1024 / log(q)=27 / CKKS / EvaluateSquare/iterations:10                   13.2 us         13.2 us           10
n=1024 / log(q)=27 / UTIL / NTTForward/iterations:10                       29.1 us         29.1 us           10
n=1024 / log(q)=27 / UTIL / NTTInverse/iterations:10                       23.4 us         23.4 us           10
n=1024 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                14.3 us         14.3 us           10
n=1024 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                11.3 us         11.3 us           10
n=1024 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            9.21 us         9.17 us           10
n=1024 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            9.59 us         9.57 us           10
n=2048 / log(q)=54 / KeyGen / Secret/iterations:10                          123 us          123 us           10
n=2048 / log(q)=54 / KeyGen / Public/iterations:10                          238 us          238 us           10
n=2048 / log(q)=54 / BFV / EncryptSecret/iterations:10                      283 us          284 us           10
n=2048 / log(q)=54 / BFV / EncryptPublic/iterations:10                      403 us          403 us           10
n=2048 / log(q)=54 / BFV / Decrypt/iterations:10                            108 us          108 us           10
n=2048 / log(q)=54 / BFV / EncodeBatch/iterations:10                       30.6 us         30.6 us           10
n=2048 / log(q)=54 / BFV / DecodeBatch/iterations:10                       36.3 us         36.3 us           10
n=2048 / log(q)=54 / BFV / EvaluateAddCt/iterations:10                     6.35 us         6.36 us           10
n=2048 / log(q)=54 / BFV / EvaluateAddPt/iterations:10                     36.0 us         36.0 us           10
n=2048 / log(q)=54 / BFV / EvaluateNegate/iterations:10                    4.68 us         4.66 us           10
n=2048 / log(q)=54 / BFV / EvaluateSubCt/iterations:10                     6.18 us         6.16 us           10
n=2048 / log(q)=54 / BFV / EvaluateSubPt/iterations:10                     33.6 us         33.6 us           10
n=2048 / log(q)=54 / BFV / EvaluateMulCt/iterations:10                     1107 us         1108 us           10
n=2048 / log(q)=54 / BFV / EvaluateMulPt/iterations:10                      145 us          145 us           10
n=2048 / log(q)=54 / BFV / EvaluateSquare/iterations:10                     818 us          819 us           10
n=2048 / log(q)=54 / BGV / EncryptSecret/iterations:10                      280 us          279 us           10
n=2048 / log(q)=54 / BGV / EncryptPublic/iterations:10                      402 us          402 us           10
n=2048 / log(q)=54 / BGV / Decrypt/iterations:10                           61.0 us         61.0 us           10
n=2048 / log(q)=54 / BGV / EncodeBatch/iterations:10                       29.5 us         29.5 us           10
n=2048 / log(q)=54 / BGV / DecodeBatch/iterations:10                       35.0 us         35.0 us           10
n=2048 / log(q)=54 / BGV / EvaluateNegate/iterations:10                    5.54 us         5.50 us           10
n=2048 / log(q)=54 / BGV / EvaluateNegateInplace/iterations:10             3.87 us         3.86 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddCt/iterations:10                     6.28 us         6.24 us           10
