"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"0","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","46.21"
"0","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.46"
"0","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"0","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.07"
"0","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.50"
"1","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"1","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","46.28"
"1","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.46"
"1","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"1","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.07"
"1","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.50"
"2","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"2","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","46.02"
"2","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.46"
"2","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"2","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.07"
"2","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.50"
"3","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"3","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","46.05"
"3","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.46"
"3","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"3","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.07"
"3","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.50"
"4","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"4","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","46.23"
"4","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.46"
"4","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"4","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.07"
"4","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.50"
"5","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"5","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","45.94"
"5","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.46"
"5","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"5","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.07"
"5","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.50"
"6","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"6","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","45.99"
"6","57979","example","127.0.0.1","Scale2(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.46"
