"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"0","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.02"
"0","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"0","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"0","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.37"
"0","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.66"
"1","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"1","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","73.94"
"1","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"1","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"1","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.29"
"1","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.66"
"2","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"2","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.00"
"2","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"2","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"2","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.36"
"2","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.66"
"3","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"3","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","73.96"
"3","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"3","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"3","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.30"
"3","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.66"
"4","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"4","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.02"
"4","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"4","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"4","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.29"
"4","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.66"
"5","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"5","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.11"
"5","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"5","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"5","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.34"
"5","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.66"
"6","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"6","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.08"
"6","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"6","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"6","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.38"
"6","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.66"
"7","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"7","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.05"
"7","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"7","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"7","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.33"
"7","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.66"
"8","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"8","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.02"
"8","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.74"
"8","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"8","65057","example.out","127.0.0.1","Scale2Twice(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","66.24"
