"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"0","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.95"
"0","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.75"
"0","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"0","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","67.16"
"0","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.67"
"1","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"1","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.98"
"1","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.75"
"1","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"1","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","67.01"
"1","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.67"
"2","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"2","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","75.00"
"2","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.75"
"2","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"2","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","67.01"
"2","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.67"
"3","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"3","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.98"
"3","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.75"
"3","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"3","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","67.02"
"3","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.67"
"4","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"4","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","75.00"
"4","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.75"
"4","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"4","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","67.01"
"4","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.67"
"5","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"5","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.97"
"5","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.75"
"5","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"5","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","67.02"
"5","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.67"
"6","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.max_rate","","1"
"6","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","74.99"
"6","65300","example.out","127.0.0.1","Scale2TwiceLimbByLimb(unsigned long *, int, int)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sector_hit_rate.ratio","","0.75"
