Generating SQLite file ./evalstall-exectime-noopt.sqlite from ./evalstall-exectime-noopt.nsys-rep
Processing [./evalstall-exectime-noopt.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
13.4,3491526,6,581921.0,581761.0,581729,582305,262.3,"iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.2,309088,6,51514.7,51440.0,51040,51968,347.9,"NTTPhase1_124(Params *, int, int, unsigned long *, unsigned long *)"
1.2,308993,6,51498.8,51408.5,50944,52032,394.3,"NTTPhase1_128(Params *, int, int, unsigned long *, unsigned long *)"
1.2,307168,6,51194.7,51152.0,50848,51744,339.5,"NTTPhase1_164(Params *, int, int, unsigned long *, unsigned long *)"
1.2,306913,6,51152.2,51280.0,50721,51424,305.8,"NTTPhase1_132(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305728,6,50954.7,51008.0,50208,51520,617.1,"NTTPhase1_136(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305280,6,50880.0,50800.0,50368,51968,571.4,"NTTPhase1_152(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305216,6,50869.3,50816.0,50432,51392,349.2,"NTTPhase1_156(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305152,6,50858.7,50752.0,50176,51872,587.5,"NTTPhase1_150(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305120,6,50853.3,50848.0,50240,51488,401.4,"NTTPhase1_162(Params *, int, int, unsigned long *, unsigned long *)"
1.2,305025,6,50837.5,50864.0,50304,51393,401.8,"NTTPhase1_140(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304896,6,50816.0,50784.0,50464,51200,313.5,"NTTPhase1_146(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304865,6,50810.8,50816.5,50048,51360,462.1,"NTTPhase1_148(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304672,6,50778.7,50656.0,50240,51424,429.0,"NTTPhase1_166(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304097,6,50682.8,50880.5,50112,51040,443.3,"NTTPhase1_134(Params *, int, int, unsigned long *, unsigned long *)"
1.2,304065,6,50677.5,50496.0,50208,51360,450.3,"NTTPhase1_138(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303905,6,50650.8,50624.5,50240,51072,331.0,"NTTPhase1_144(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303873,6,50645.5,50656.0,49952,51264,446.8,"NTTPhase1_142(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303873,6,50645.5,50624.0,50177,51072,349.5,"NTTPhase1_154(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303873,6,50645.5,50576.5,50176,51168,370.2,"NTTPhase1_158(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303745,6,50624.2,50672.0,50240,51072,328.3,"iNTTPhase1_126(Params *, int, int, unsigned long *, unsigned long *)"
1.2,303264,6,50544.0,50656.0,49856,51232,528.0,"iNTTPhase1_122(Params *, int, int, unsigned long *, unsigned long *)"
1.2,302656,6,50442.7,50480.0,49984,50976,341.5,"NTTPhase1_160(Params *, int, int, unsigned long *, unsigned long *)"
0.9,228160,6,38026.7,38016.0,37664,38336,234.0,"iNTTPhase2_123(Params *, int, int, unsigned long *, unsigned long *)"
0.9,224960,6,37493.3,37536.0,37056,37696,244.3,"iNTTPhase2_127(Params *, int, int, unsigned long *, unsigned long *)"
0.8,208000,6,34666.7,36224.0,28608,36768,3142.4,"iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *)"
0.8,199904,6,33317.3,33360.0,32896,33568,290.1,"NTTPhase2_141(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,199648,6,33274.7,33392.0,32800,33600,323.4,"NTTPhase2_139(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
0.8,198593,6,33098.8,33088.5,32704,33472,256.5,"NTTPhase2_147(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
