Generating SQLite file ./evalstall-exectime-opt.sqlite from ./evalstall-exectime-opt.nsys-rep
Processing [./evalstall-exectime-opt.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.0,3487334,6,581222.3,581329.0,580641,581729,389.5,"iNTTPhase1_130(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
5.5,798529,6,133088.2,133024.5,132576,134048,541.6,"NTTPhase2_167_NTTPhase2_165_Mult_19_NTTPhase2_161_Mult_9_Mult_10_Mult_14_Mult_13_Mult_25_Mult_26_Add_28_Add_15_Add_16_Add_21_Add_27(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
2.3,329440,6,54906.7,55120.0,53120,55712,940.0,"NTTPhase2_133_Mult_109_Mult_110_Add_112_iNTTPhase2_123_Add_111_iNTTPhase2_127(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
2.3,326785,6,54464.2,54288.0,53824,55296,601.2,"iNTTPhase1_122(Params *, int, int, unsigned long *, unsigned long *)"
2.2,323904,6,53984.0,54080.0,53568,54336,282.6,"NTTPhase1_124(Params *, int, int, unsigned long *, unsigned long *)"
2.2,312384,6,52064.0,51968.0,51776,52512,322.5,"NTTPhase1_128(Params *, int, int, unsigned long *, unsigned long *)"
2.1,305921,6,50986.8,50736.0,50560,51680,530.6,"NTTPhase1_132(Params *, int, int, unsigned long *, unsigned long *)"
2.1,304866,6,50811.0,50768.5,50272,51713,497.5,"NTTPhase1_166(Params *, int, int, unsigned long *, unsigned long *)"
2.1,304097,6,50682.8,50448.0,50144,51488,576.4,"NTTPhase1_146(Params *, int, int, unsigned long *, unsigned long *)"
2.1,303745,6,50624.2,50640.0,50272,50913,206.7,"NTTPhase1_154(Params *, int, int, unsigned long *, unsigned long *)"
2.1,303680,6,50613.3,50256.0,50112,51552,658.2,"NTTPhase1_134(Params *, int, int, unsigned long *, unsigned long *)"
2.1,303328,6,50554.7,50576.0,49984,50912,337.1,"NTTPhase1_144(Params *, int, int, unsigned long *, unsigned long *)"
2.1,303233,6,50538.8,50512.0,49824,51169,460.3,"NTTPhase1_160(Params *, int, int, unsigned long *, unsigned long *)"
2.1,303136,6,50522.7,50528.0,50016,51008,322.2,"NTTPhase1_150(Params *, int, int, unsigned long *, unsigned long *)"
2.1,303104,6,50517.3,50432.0,49952,51104,479.6,"NTTPhase1_162(Params *, int, int, unsigned long *, unsigned long *)"
2.1,302817,6,50469.5,50384.5,50016,50944,387.9,"NTTPhase1_140(Params *, int, int, unsigned long *, unsigned long *)"
2.1,302720,6,50453.3,50480.0,49792,51200,490.6,"NTTPhase1_138(Params *, int, int, unsigned long *, unsigned long *)"
2.1,302593,6,50432.2,50256.5,49824,51040,486.5,"NTTPhase1_142(Params *, int, int, unsigned long *, unsigned long *)"
2.1,302113,6,50352.2,50416.0,50049,50560,188.2,"NTTPhase1_156(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301920,6,50320.0,50256.0,49984,50944,349.2,"NTTPhase1_158(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301825,6,50304.2,50336.0,50080,50529,177.8,"NTTPhase1_152(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301632,6,50272.0,50272.0,49888,50592,256.0,"NTTPhase1_148(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301537,6,50256.2,50320.5,49760,50624,335.4,"iNTTPhase1_126(Params *, int, int, unsigned long *, unsigned long *)"
2.1,301153,6,50192.2,50192.0,49825,50592,286.5,"NTTPhase1_136(Params *, int, int, unsigned long *, unsigned long *)"
2.1,300512,6,50085.3,50048.0,49888,50336,172.2,"NTTPhase1_164(Params *, int, int, unsigned long *, unsigned long *)"
1.5,224448,6,37408.0,37472.0,37056,37568,189.9,"NTTPhase2_163_Mult_20_Add_22(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.4,208993,6,34832.2,34848.5,34624,35008,170.2,"NTTPhase2_125_Mult_2_Mult_3_Add_5_Add_120(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.1,156737,6,26122.8,26144.0,25856,26400,221.2,"NTTPhase2_159_Mult_31_Mult_32_Add_34_Add_33(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,146337,6,24389.5,24352.0,23936,24897,313.5,"NTTPhase2_157_Mult_37_Mult_38_Add_40_Add_39(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,146112,6,24352.0,24176.0,23968,25408,526.2,"NTTPhase2_147_Mult_67_Mult_68_Add_70_Add_69(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,145632,6,24272.0,24224.0,24096,24576,165.4,"NTTPhase2_139_Mult_91_Mult_92_Add_94_Add_93(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,145056,6,24176.0,24000.0,23904,24992,422.0,"NTTPhase2_141_Mult_85_Mult_86_Add_88_Add_87(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,145024,6,24170.7,24192.0,23808,24448,234.9,"NTTPhase2_137_Mult_97_Mult_98_Add_100_Add_99(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,144930,6,24155.0,24016.5,23712,24929,438.3,"NTTPhase2_135_Mult_103_Mult_104_Add_106_Add_105(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,144928,6,24154.7,24048.0,23936,24512,259.5,"NTTPhase2_145_Mult_73_Mult_74_Add_76_Add_75(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,144865,6,24144.2,24128.5,24000,24288,100.7,"NTTPhase2_143_Mult_79_Mult_80_Add_82_Add_81(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,144033,6,24005.5,24016.0,23776,24320,201.9,"NTTPhase2_151_Mult_55_Mult_56_Add_58_Add_57(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,143584,6,23930.7,23776.0,23456,24928,520.1,"NTTPhase2_153_Mult_49_Mult_50_Add_52_Add_51(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,143552,6,23925.3,23904.0,23744,24192,148.3,"NTTPhase2_149_Mult_61_Mult_62_Add_64_Add_63(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
1.0,141984,6,23664.0,23680.0,23392,23904,162.9,"NTTPhase2_155_Mult_43_Mult_44_Add_46_Add_45(Params *, int, int, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)"
0.7,108576,6,18096.0,16272.0,16128,27232,4478.3,"Mult_4_iNTTPhase2_131(Params *, int, int, unsigned long *, unsigned long *, unsigned long *)"
