Generating SQLite file ./evalstall-exectime-phantom.sqlite from ./evalstall-exectime-phantom.nsys-rep
Processing [./evalstall-exectime-phantom.sqlite] with [/opt/nvidia/nsight-systems-cli/2024.7.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.4,8686991,5,1737398.2,1739299.0,1728931,1742307,5142.8,"compose_array_kernel(double2 *, unsigned long *, unsigned long *, const unsigned long *, unsigned int, const DModulus *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, double, unsigned int)"
18.4,6540043,139,47050.7,47009.0,46080,48800,579.1,"sample_error_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
12.3,4395111,125,35160.9,35040.0,34208,37312,659.3,"sample_uniform_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
8.8,3120647,173,18038.4,20448.0,13312,26112,3566.9,"inplace_fnwt_radix8_phase2(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
7.9,2831077,5,566215.4,566081.0,565537,566689,486.0,"phantom::key_switch_inner_prod_c2_and_evk(unsigned long *, const unsigned long *, const unsigned long *const *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
7.0,2509094,183,13710.9,13728.0,12800,15872,337.0,"inplace_fnwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
3.6,1273729,85,14985.0,14304.0,13920,26496,2709.0,"inplace_fnwt_radix8_phase2_include_special_mod_exclude_range(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
3.5,1245024,125,9960.2,9792.0,8608,15648,1160.6,"multiply_and_add_negate_rns_poly(const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)"
3.2,1121954,85,13199.5,13088.0,12768,15008,421.4,"inplace_fnwt_radix8_phase1_include_special_mod_exclude_range(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
1.8,633088,13,48699.1,48832.0,47808,49376,471.7,"sample_ternary_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)"
1.6,577186,85,6790.4,6496.0,6112,8896,702.1,"modup_bconv_single_p_kernel(unsigned long *, const unsigned long *, const unsigned long *, unsigned long, unsigned long, const DModulus *, unsigned long)"
0.7,262528,10,26252.8,26256.0,17888,34656,8703.1,"inplace_fnwt_radix8_phase2_fuse_moddown(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.7,260961,7,37280.1,37280.0,37120,37440,116.8,"inplace_special_ifft_base_kernel(double2 *, const double2 *, const unsigned int *, unsigned int, unsigned int, unsigned int, int, unsigned int, double)"
0.6,222210,19,11695.3,12544.0,7872,14752,2120.7,"multiply_and_add_rns_poly(const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)"
0.5,193408,7,27629.7,27648.0,27296,28032,273.3,"multiply_temp_mod_and_add_rns_poly(const unsigned long *, const unsigned long *const *, const DModulus *, unsigned long **, unsigned long, unsigned long, unsigned long, const unsigned long *, const unsigned long *)"
0.5,167264,5,33452.8,32992.0,32512,35648,1299.6,"inwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.4,147904,10,14790.4,15024.0,13536,16064,1059.9,"inplace_inwt_radix8_phase2(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.4,142944,10,14294.4,14368.0,12864,15552,1315.1,"add_to_ct_kernel(unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long)"
0.4,138432,24,5768.0,5664.0,5280,6400,444.6,"inplace_inwt_radix8_phase1_include_special_mod(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.4,134944,5,26988.8,27712.0,21376,30240,3317.1,"tensor_prod_2x2_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned int, unsigned int)"
0.4,130592,5,26118.4,25888.0,25856,27040,515.7,"inplace_special_ffft_base_kernel(double2 *, const double2 *, const unsigned int *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,128320,14,9165.7,9184.0,8896,9440,181.8,"bconv_matmul_unroll2_kernel(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, const DModulus *, unsigned long, unsigned long)"
