"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","688379","bench","127.0.0.1","Mult_NTTPhase1(DeviceContext *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","request","797696"
"0","688379","bench","127.0.0.1","Mult_NTTPhase1(DeviceContext *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","40.09"
"0","688379","bench","127.0.0.1","Mult_NTTPhase1(DeviceContext *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","1310720"
"0","688379","bench","127.0.0.1","Mult_NTTPhase1(DeviceContext *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","99.63"
"1","688379","bench","127.0.0.1","ModUp(DeviceContext *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","request","0"
"1","688379","bench","127.0.0.1","ModUp(DeviceContext *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"1","688379","bench","127.0.0.1","ModUp(DeviceContext *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","0"
"1","688379","bench","127.0.0.1","ModUp(DeviceContext *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","44.18"
"2","688379","bench","127.0.0.1","NTTPhase2_Mult_ModUp_ModUp(DeviceContext *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","request","802816"
"2","688379","bench","127.0.0.1","NTTPhase2_Mult_ModUp_ModUp(DeviceContext *, unsigned long *, unsigned long *, unsigned long *, unsigned long *, unsigned long *)","1","7","(256, 1, 1)","(256, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","46.58"
